id_employee, salary ,salary_currency, salary_in_usd 
97," 81,800.00 ",USD," 81,800.00 "
98," 95,000.00 ",USD," 95,000.00 "
99," 80,000.00 ",USD," 80,000.00 "
100," 160,000.00 ",USD," 160,000.00 "
101," 94,100.00 ",USD," 94,100.00 "
102," 40,000.00 ",GBP," 50,000.00 "
103," 30,000.00 ",GBP," 37,500.00 "
104," 225,000.00 ",USD," 225,000.00 "
105," 215,000.00 ",USD," 215,000.00 "
106," 303,400.00 ",USD," 303,400.00 "
107," 216,700.00 ",USD," 216,700.00 "
108," 45,000.00 ",GBP," 56,250.00 "
109," 45,000.00 ",GBP," 56,250.00 "
110," 179,000.00 ",USD," 179,000.00 "
111," 112,000.00 ",USD," 112,000.00 "
112," 166,000.00 ",USD," 166,000.00 "
113," 73,100.00 ",USD," 73,100.00 "
114," 130,000.00 ",USD," 130,000.00 "
115," 110,000.00 ",USD," 110,000.00 "
116," 115,000.00 ",USD," 115,000.00 "
117," 80,000.00 ",USD," 80,000.00 "
118," 179,000.00 ",USD," 179,000.00 "
119," 112,000.00 ",USD," 112,000.00 "
120," 195,000.00 ",USD," 195,000.00 "
121," 170,000.00 ",USD," 170,000.00 "
122," 78,000.00 ",USD," 78,000.00 "
123," 54,000.00 ",USD," 54,000.00 "
124," 179,000.00 ",USD," 179,000.00 "
125," 112,000.00 ",USD," 112,000.00 "
126," 440,000.00 ",USD," 440,000.00 "
127," 295,000.00 ",USD," 295,000.00 "
128," 130,000.00 ",USD," 130,000.00 "
129," 120,000.00 ",USD," 120,000.00 "
130," 152,375.00 ",USD," 152,375.00 "
131," 94,000.00 ",USD," 94,000.00 "
132," 180,000.00 ",USD," 180,000.00 "
133," 130,000.00 ",USD," 130,000.00 "
134," 195,000.00 ",USD," 195,000.00 "
135," 165,000.00 ",USD," 165,000.00 "
136," 218,000.00 ",USD," 218,000.00 "
137," 152,600.00 ",USD," 152,600.00 "
138," 750,000.00 ",USD," 750,000.00 "
139," 150,000.00 ",USD," 150,000.00 "
140," 136,197.00 ",USD," 136,197.00 "
141," 100,000.00 ",USD," 100,000.00 "
142," 440,000.00 ",USD," 440,000.00 "
143," 295,000.00 ",USD," 295,000.00 "
144," 179,000.00 ",USD," 179,000.00 "
145," 112,000.00 ",USD," 112,000.00 "
146," 175,100.00 ",USD," 175,100.00 "
147," 82,915.00 ",USD," 82,915.00 "
148," 112,000.00 ",USD," 112,000.00 "
149," 109,000.00 ",USD," 109,000.00 "
150," 116,550.00 ",USD," 116,550.00 "
151," 79,200.00 ",USD," 79,200.00 "
152," 168,000.00 ",USD," 168,000.00 "
153," 120,000.00 ",USD," 120,000.00 "
154," 154,400.00 ",GBP," 193,000.00 "
155," 76,900.00 ",GBP," 96,125.00 "
156," 210,000.00 ",USD," 210,000.00 "
157," 160,000.00 ",USD," 160,000.00 "
158," 116,000.00 ",USD," 116,000.00 "
159," 90,000.00 ",USD," 90,000.00 "
160," 247,600.00 ",USD," 247,600.00 "
161," 127,300.00 ",USD," 127,300.00 "
162," 40,000.00 ",GBP," 50,000.00 "
163," 35,000.00 ",GBP," 43,750.00 "
164," 190,600.00 ",USD," 190,600.00 "
165," 94,400.00 ",USD," 94,400.00 "
166," 258,100.00 ",USD," 258,100.00 "
167," 151,900.00 ",USD," 151,900.00 "
168," 720,000.00 ",USD," 720,000.00 "
169," 100,000.00 ",USD," 100,000.00 "
170," 140,000.00 ",GBP," 175,000.00 "
171," 100,000.00 ",GBP," 125,000.00 "
172," 171,000.00 ",USD," 171,000.00 "
173," 93,000.00 ",USD," 93,000.00 "
174," 104,000.00 ",USD," 104,000.00 "
175," 80,000.00 ",USD," 80,000.00 "
176," 158,000.00 ",USD," 158,000.00 "
177," 106,000.00 ",USD," 106,000.00 "
178," 720,000.00 ",USD," 720,000.00 "
179," 100,000.00 ",USD," 100,000.00 "
180," 140,130.00 ",USD," 140,130.00 "
181," 84,870.00 ",USD," 84,870.00 "
182," 720,000.00 ",USD," 720,000.00 "
183," 100,000.00 ",USD," 100,000.00 "
184," 278,700.00 ",USD," 278,700.00 "
185," 159,300.00 ",USD," 159,300.00 "
186," 220,000.00 ",USD," 220,000.00 "
187," 170,000.00 ",USD," 170,000.00 "
188," 117,750.00 ",USD," 117,750.00 "
189," 70,650.00 ",USD," 70,650.00 "
190," 233,200.00 ",USD," 233,200.00 "
191," 144,200.00 ",USD," 144,200.00 "
192," 247,500.00 ",USD," 247,500.00 "
193," 172,200.00 ",USD," 172,200.00 "
194," 138,000.00 ",USD," 138,000.00 "
195," 86,000.00 ",USD," 86,000.00 "
196," 179,000.00 ",USD," 179,000.00 "
197," 112,000.00 ",USD," 112,000.00 "
198," 92,000.00 ",USD," 92,000.00 "
199," 80,000.00 ",USD," 80,000.00 "
200," 90,000.00 ",USD," 90,000.00 "
201," 70,000.00 ",USD," 70,000.00 "
202," 127,000.00 ",USD," 127,000.00 "
203," 72,600.00 ",USD," 72,600.00 "
204," 70,000.00 ",USD," 70,000.00 "
205," 50,000.00 ",USD," 50,000.00 "
206," 83,000.00 ",USD," 83,000.00 "
207," 71,000.00 ",USD," 71,000.00 "
208," 198,650.00 ",USD," 198,650.00 "
209," 137,000.00 ",USD," 137,000.00 "
210," 160,000.00 ",USD," 160,000.00 "
