id_employee,job_title, salary ,id_currency, salary_in_usd ,id_work_year,id_experience_level,id_remote_ratio,id_company
3459,Business Intelligence Analyst,"99,000.00",1,"99,000.00",4,1,1,1
3460,Data Engineer,"130,000.00",1,"130,000.00",4,2,3,1
3461,Data Engineer,"120,000.00",1,"120,000.00",4,2,3,1
3462,Business Intelligence Analyst,"194,500.00",1,"194,500.00",4,1,3,1
3463,Business Intelligence Analyst,"132,320.00",1,"132,320.00",4,1,3,1
3464,Data Engineer,"135,000.00",1,"135,000.00",4,1,1,1
3465,Data Engineer,"90,000.00",1,"90,000.00",4,1,1,1
3466,Data Analyst,"223,602.00",1,"223,602.00",4,1,1,1
3467,Data Analyst,"143,520.00",1,"143,520.00",4,1,1,1
3468,Machine Learning Scientist,"180,000.00",1,"180,000.00",4,1,1,1
3469,Machine Learning Scientist,"140,000.00",1,"140,000.00",4,1,1,1
3470,Data Scientist,"180,000.00",1,"180,000.00",4,2,1,1
3471,Data Scientist,"162,000.00",1,"162,000.00",4,2,1,1
3472,Data Engineer,"99,000.00",3,"121,809.00",4,1,3,7
3473,Data Engineer,"68,000.00",3,"83,667.00",4,1,3,7
3474,Data Analyst,"120,350.00",1,"120,350.00",4,1,3,1
3475,Data Analyst,"74,400.00",1,"74,400.00",4,1,3,1
3476,Data Scientist,"185,000.00",1,"185,000.00",4,1,1,1
3477,Data Scientist,"123,000.00",1,"123,000.00",4,1,1,1
3478,Data Engineer,"140,000.00",1,"140,000.00",4,2,3,1
3479,Data Engineer,"90,000.00",1,"90,000.00",4,2,3,1
3480,Machine Learning Engineer,"214,500.00",1,"214,500.00",4,1,1,1
3481,Machine Learning Engineer,"132,600.00",1,"132,600.00",4,1,1,1
3482,Data Engineer,"154,000.00",1,"154,000.00",4,1,1,1
3483,Data Engineer,"103,000.00",1,"103,000.00",4,1,1,1
3484,Data Analyst,"90,000.00",1,"90,000.00",4,1,3,1
3485,Data Analyst,"80,000.00",1,"80,000.00",4,1,3,1
3486,Data Manager,"140,000.00",1,"140,000.00",4,4,1,1
3487,Data Manager,"100,000.00",1,"100,000.00",4,4,1,1
3488,Data Engineer,"170,000.00",1,"170,000.00",4,1,1,1
3489,Data Engineer,"100,000.00",1,"100,000.00",4,1,1,1
3490,Data Analyst,"115,000.00",1,"115,000.00",4,2,1,1
3491,Data Analyst,"105,000.00",1,"105,000.00",4,2,1,1
3492,Data Scientist,"296,100.00",1,"296,100.00",4,1,1,1
3493,Data Scientist,"144,500.00",1,"144,500.00",4,1,1,1
3494,Data Engineer,"220,000.00",1,"220,000.00",4,3,1,1
3495,Data Engineer,"187,000.00",1,"187,000.00",4,3,1,1
3496,Data Analyst,"118,600.00",1,"118,600.00",4,1,1,1
3497,Data Analyst,"96,800.00",1,"96,800.00",4,1,1,1
3498,Data Scientist,"100,000.00",1,"100,000.00",4,3,3,1
3499,Machine Learning Engineer,"45,000.00",2,"48,585.00",4,2,3,7
3500,Data Analyst,"142,000.00",1,"142,000.00",4,2,1,1
3501,Data Analyst,"128,000.00",1,"128,000.00",4,2,1,1
3502,ETL Developer,"99,500.00",1,"99,500.00",4,1,1,1
3503,ETL Developer,"53,300.00",1,"53,300.00",4,1,1,1
3504,Data Engineer,"210,000.00",1,"210,000.00",4,1,1,1
3505,Data Engineer,"165,000.00",1,"165,000.00",4,1,1,1
3506,Research Scientist,"172,000.00",1,"172,000.00",4,1,1,1
3507,Research Scientist,"125,000.00",1,"125,000.00",4,1,1,1
3508,Data Engineer,"250,000.00",1,"250,000.00",4,1,1,1
3509,Data Engineer,"190,000.00",1,"190,000.00",4,1,1,1
3510,Research Engineer,"245,000.00",1,"245,000.00",4,1,1,1
3511,Research Engineer,"245,000.00",1,"245,000.00",4,1,1,1
3512,Data Architect,"234,900.00",1,"234,900.00",4,1,1,1
3513,Data Architect,"68,400.00",1,"68,400.00",4,1,1,1
3514,Data Scientist,"155,000.00",1,"155,000.00",4,1,1,1
3515,Data Scientist,"139,000.00",1,"139,000.00",4,1,1,1
3516,Data Analyst,"142,000.00",1,"142,000.00",4,1,1,1
3517,Data Analyst,"128,000.00",1,"128,000.00",4,1,1,1
3518,Research Engineer,"172,000.00",1,"172,000.00",4,1,1,1
3519,Research Engineer,"125,000.00",1,"125,000.00",4,1,1,1
3520,Data Engineer,"128,000.00",1,"128,000.00",4,1,1,1
3521,Data Engineer,"81,500.00",1,"81,500.00",4,1,1,1
3522,Data Engineer,"167,500.00",1,"167,500.00",4,2,1,1
3523,Data Engineer,"106,500.00",1,"106,500.00",4,2,1,1
3524,Data Engineer,"150,000.00",1,"150,000.00",4,2,3,1
3525,Data Engineer,"100,000.00",1,"100,000.00",4,2,3,1
3526,Data Analyst,"139,600.00",1,"139,600.00",4,1,1,1
3527,Data Analyst,"85,700.00",1,"85,700.00",4,1,1,1
3528,Azure Data Engineer,"100,000.00",1,"100,000.00",1,3,1,45
3529,Data Engineer,"143,000.00",1,"143,000.00",4,1,1,1
3530,Data Engineer,"95,000.00",1,"95,000.00",4,1,1,1
3531,Data Manager,"145,000.00",1,"145,000.00",4,1,1,1
3532,Data Manager,"130,000.00",1,"130,000.00",4,1,1,1
3533,Machine Learning Engineer,"330,000.00",1,"330,000.00",4,1,3,1
3534,Machine Learning Engineer,"188,000.00",1,"188,000.00",4,1,3,1
3535,Data Scientist,"238,000.00",1,"238,000.00",4,1,3,2
3536,Data Scientist,"156,000.00",1,"156,000.00",4,1,3,2
3537,Data Analyst,"145,000.00",1,"145,000.00",4,1,3,1
3538,Data Analyst,"106,000.00",1,"106,000.00",4,1,3,1
3539,Decision Scientist,"140,000.00",3,"172,256.00",4,1,3,7
3540,Decision Scientist,"100,000.00",3,"123,040.00",4,1,3,7
3541,Machine Learning Engineer,"297,300.00",1,"297,300.00",4,1,3,1
